ac; Adam Curry
jd; John C. Dvorak

j; Jingle
x; SFX

c; Clip
c1; Clip (Speaker 1)
c2; Clip (Speaker 2)
c3; Clip (Speaker 3)
c4; Clip (Speaker 4)
c5; Clip (Speaker 5)
c6; Clip (Speaker 6)
c7; Clip (Speaker 7)
c8; Clip (Speaker 8)
c9; Clip (Speaker 9)
c10; Clip (Speaker 10)
chc; Clip (Hillary Clinton)
gna; Gitmo Nation National Anthem
cdd; Clip (Dr. Drew)
ceb; Clip (Erin Brockovich)
cia; Clip (Intuniv advertisement)
clp; Clip (Leon Panetta)
cjn; Clip (Judge Andrew Napolitano)
cks; Clip (Klaus Schwab)
cjw; Clip (Jack Welch)
cjb; Clip (Joe Biden)
